Epochs,Train Loss,Train accuracy
0,2.753098006391525,0.1199999999999998
1,2.753098006391525,0.04000000000000003
2,2.753098006391525,0.1199999999999998
3,2.753098006391525,0.0599999999999999
4,2.753098006391525,0.020000000000000014
5,2.753098006391525,0.14000000000000018
6,2.753098006391525,0.1199999999999998
7,2.753098006391525,0.14000000000000018
8,2.753098006391525,0.14000000000000018
9,2.753098006391525,0.14000000000000018
10,2.753098006391525,0.17999999999999983
11,2.753098006391525,0.04000000000000003
12,2.753098006391525,0.14000000000000018
13,2.753098006391525,0.0599999999999999
14,2.753098006391525,0.08000000000000006
15,2.753098006391525,0.1199999999999998
16,2.753098006391525,0.09999999999999981
17,2.753098006391525,0.08000000000000006
18,2.753098006391525,0.08000000000000006
19,2.753098006391525,0.09999999999999981
20,2.753098006391525,0.14000000000000018
21,2.753098006391525,0.19999999999999962
22,2.753098006391525,0.09999999999999981
23,2.753098006391525,0.0599999999999999
24,2.753098006391525,0.19999999999999962
25,2.753098006391525,0.1199999999999998
26,2.753098006391525,0.16000000000000011
27,2.753098006391525,0.14000000000000018
28,2.753098006391525,0.10639999999999994
29,2.753098006391525,0.0599999999999999
30,2.753098006391525,0.04000000000000003
31,2.753098006391525,0.14000000000000018
32,2.753098006391525,0.11199999999999993
33,2.753098006391525,0.11719999999999989
34,2.753098006391525,0.16000000000000011
35,2.753098006391525,0.09159999999999993
36,2.753098006391525,0.09999999999999981
37,2.753098006391525,0.059999999999999956
38,2.753098006391525,0.1803999999999999
39,2.753098006391525,0.1237999999999999
40,2.753098006391525,0.23179999999999987
41,2.753098006391525,0.21599999999999986
42,2.753098006391525,0.3652
43,2.753098006391525,0.1779999999999999
44,2.753098006391525,0.2045999999999999
45,2.753098006391525,0.1927999999999998
46,2.753098006391525,0.27620000000000017
47,2.753098006391525,0.18599999999999994
48,2.753098006391525,0.11879999999999988
49,2.753098006391525,0.25500000000000017
50,2.753098006391525,0.2680000000000002
51,2.753098006391525,0.1825999999999999
52,2.753098006391525,0.1793999999999999
53,2.753098006391525,0.16859999999999997
54,2.753098006391525,0.25500000000000006
55,2.753098006391525,0.14579999999999999
56,2.753098006391525,0.11459999999999995
57,2.753098006391525,0.36440000000000006
58,2.753098006391525,0.13639999999999994
59,2.753098006391525,0.16879999999999995
60,2.753098006391525,0.31220000000000014
61,2.753098006391525,0.16339999999999996
62,2.753098006391525,0.2103999999999998
63,2.753098006391525,0.19979999999999978
64,2.753098006391525,0.19299999999999998
65,2.753098006391525,0.2504000000000001
66,2.753098006391525,0.30000000000000027
67,2.753098006391525,0.1741999999999999
68,2.753098006391525,0.21359999999999996
69,2.753098006391525,0.2492
70,2.753098006391525,0.23199999999999993
71,2.753098006391525,0.26780000000000004
72,2.753098006391525,0.1779999999999999
73,2.753098006391525,0.17759999999999995
74,2.753098006391525,0.31960000000000016
75,2.753098006391525,0.1548
76,2.753098006391525,0.27540000000000014
77,2.753098006391525,0.14539999999999995
78,2.753098006391525,0.2430000000000001
79,2.753098006391525,0.2756000000000001
80,2.753098006391525,0.17419999999999988
81,2.753098006391525,0.3000000000000002
82,2.753098006391525,0.15839999999999996
83,2.753098006391525,0.22559999999999994
84,2.753098006391525,0.31060000000000004
85,2.753098006391525,0.14939999999999995
86,2.753098006391525,0.249
87,2.753098006391525,0.15959999999999994
88,2.753098006391525,0.23440000000000003
89,2.753098006391525,0.16079999999999994
90,2.753098006391525,0.2504
91,2.753098006391525,0.2237999999999999
92,2.753098006391525,0.1981999999999999
93,2.753098006391525,0.23939999999999997
94,2.753098006391525,0.31860000000000016
95,2.753098006391525,0.3488
96,2.753098006391525,0.23199999999999993
97,2.753098006391525,0.31379999999999997
98,2.753098006391525,0.35100000000000015
99,2.753098006391525,0.3687999999999999
