Epochs,Train Loss,Train accuracy
0,2.5207532936096184,0.1199999999999998
1,2.5207532936096184,0.2399999999999996
2,2.5207532936096184,0.1199999999999998
3,2.5207532936096184,0.14000000000000018
4,2.5207532936096184,0.1199999999999998
5,2.5207532936096184,0.1199999999999998
6,2.5207532936096184,0.0599999999999999
7,2.5207532936096184,0.16000000000000011
8,2.5207532936096184,0.1199999999999998
9,2.5207532936096184,0.14000000000000018
10,2.5207532936096184,0.08000000000000006
11,2.5207532936096184,0.08000000000000006
12,2.5207532936096184,0.1199999999999998
13,2.5207532936096184,0.0599999999999999
14,2.5207532936096184,0.16000000000000011
15,2.5207532936096184,0.08000000000000006
16,2.5207532936096184,0.09999999999999981
17,2.5207532936096184,0.1199999999999998
18,2.5207532936096184,0.1199999999999998
19,2.5207532936096184,0.020000000000000014
20,2.5207532936096184,0.14000000000000018
21,2.5207532936096184,0.14000000000000018
22,2.5207532936096184,0.020000000000000014
23,2.5207532936096184,0.08000000000000006
24,2.5207532936096184,0.2199999999999999
25,2.5207532936096184,0.1199999999999998
26,2.5207532936096184,0.09999999999999981
27,2.5207532936096184,0.08000000000000006
28,2.5207532936096184,0.16000000000000011
29,2.5207532936096184,0.08000000000000006
30,2.5207532936096184,0.08000000000000006
31,2.5207532936096184,0.16000000000000011
32,2.5207532936096184,0.08000000000000006
33,2.5207532936096184,0.0599999999999999
34,2.5207532936096184,0.14000000000000018
35,2.5207532936096184,0.04000000000000003
36,2.5207532936096184,0.0599999999999999
37,2.5207532936096184,0.0599999999999999
38,2.5207532936096184,0.04000000000000003
39,2.5207532936096184,0.14000000000000018
40,2.5207532936096184,0.09999999999999981
41,2.5207532936096184,0.1199999999999998
42,2.5207532936096184,0.020000000000000014
43,2.5207532936096184,0.14000000000000018
44,2.5207532936096184,0.14000000000000018
45,2.5207532936096184,0.0599999999999999
46,2.5207532936096184,0.09999999999999981
47,2.5207532936096184,0.08000000000000006
48,2.5207532936096184,0.04000000000000003
49,2.5207532936096184,0.1199999999999998
50,2.5207532936096184,0.17999999999999983
51,2.5207532936096184,0.16000000000000011
52,2.5207532936096184,0.14000000000000018
53,2.5207532936096184,0.08000000000000006
54,2.5207532936096184,0.09999999999999981
55,2.5207532936096184,0.19999999999999962
56,2.5207532936096184,0.020000000000000014
57,2.5207532936096184,0.14000000000000018
58,2.5207532936096184,0.09999999999999981
59,2.5207532936096184,0.19999999999999962
60,2.5207532936096184,0.09999999999999981
61,2.5207532936096184,0.08000000000000006
62,2.5207532936096184,0.08000000000000006
63,2.5207532936096184,0.04000000000000003
64,2.5207532936096184,0.1199999999999998
65,2.5207532936096184,0.0599999999999999
66,2.5207532936096184,0.09999999999999981
67,2.5207532936096184,0.16000000000000011
68,2.5207532936096184,0.2199999999999999
69,2.5207532936096184,0.1199999999999998
70,2.5207532936096184,0.08000000000000006
71,2.5207532936096184,0.16000000000000011
72,2.5207532936096184,0.2199999999999999
73,2.5207532936096184,0.0599999999999999
74,2.5207532936096184,0.08000000000000006
75,2.5207532936096184,0.1199999999999998
76,2.5207532936096184,0.08000000000000006
77,2.5207532936096184,0.08000000000000006
78,2.5207532936096184,0.14000000000000018
79,2.5207532936096184,0.0599999999999999
80,2.5207532936096184,0.14000000000000018
81,2.5207532936096184,0.14000000000000018
82,2.5207532936096184,0.08000000000000006
83,2.5207532936096184,0.1199999999999998
84,2.5207532936096184,0.14000000000000018
85,2.5207532936096184,0.04000000000000003
86,2.5207532936096184,0.09999999999999981
87,2.5207532936096184,0.1199999999999998
88,2.5207532936096184,0.04000000000000003
89,2.5207532936096184,0.1199999999999998
90,2.5207532936096184,0.1199999999999998
91,2.5207532936096184,0.1199999999999998
92,2.5207532936096184,0.08000000000000006
93,2.5207532936096184,0.09999999999999981
94,2.5207532936096184,0.020000000000000014
95,2.5207532936096184,0.08000000000000006
96,2.5207532936096184,0.08000000000000006
97,2.5207532936096184,0.0599999999999999
98,2.5207532936096184,0.08000000000000006
99,2.5207532936096184,0.08000000000000006
