round,test_acc,test_loss,norm,scenario
1,0.108438818565401,2.91065846103153,BN,fedgkt noniid unbalanced
2,0.182331223628692,2.50661672404044,BN,fedgkt noniid unbalanced
3,0.18162579113924,3.13034718630183,BN,fedgkt noniid unbalanced
4,0.173918776371308,3.53446926371458,BN,fedgkt noniid unbalanced
5,0.1739055907173,3.0299896966556,BN,fedgkt noniid unbalanced
6,0.200534018987342,2.3972365486471,BN,fedgkt noniid unbalanced
7,0.243074235232067,2.29154008591728,BN,fedgkt noniid unbalanced
8,0.218463212025316,3.34314067876792,BN,fedgkt noniid unbalanced
9,0.167714926160338,2.58641094376769,BN,fedgkt noniid unbalanced
10,0.21760944092827,2.56343099839577,BN,fedgkt noniid unbalanced
11,0.207482858649789,2.69592808303954,BN,fedgkt noniid unbalanced
12,0.218545622362869,2.82568793271664,BN,fedgkt noniid unbalanced
13,0.189616297468354,2.84759377437302,BN,fedgkt noniid unbalanced
14,0.257410337552743,2.256929739266,BN,fedgkt noniid unbalanced
15,0.270691587552743,2.81978349363754,BN,fedgkt noniid unbalanced
16,0.236758306962025,3.24117305882369,BN,fedgkt noniid unbalanced
17,0.272244198312236,2.43176665119984,BN,fedgkt noniid unbalanced
18,0.256002768987342,3.12024182217031,BN,fedgkt noniid unbalanced
19,0.23220266350211,3.58102555858435,BN,fedgkt noniid unbalanced
20,0.250850474683544,2.76465621271214,BN,fedgkt noniid unbalanced
21,0.217424841772152,3.24192111834192,BN,fedgkt noniid unbalanced
22,0.236998945147679,3.32034525695229,BN,fedgkt noniid unbalanced
23,0.254608386075949,3.23915810916997,BN,fedgkt noniid unbalanced
24,0.259289293248945,3.1873373464693,BN,fedgkt noniid unbalanced
25,0.279628164556962,2.42064452945935,BN,fedgkt noniid unbalanced
26,0.27050039556962,2.78083421218244,BN,fedgkt noniid unbalanced
27,0.251832805907173,3.42937706749147,BN,fedgkt noniid unbalanced
28,0.224525316455696,3.38021120552272,BN,fedgkt noniid unbalanced
29,0.229519382911392,3.49259407198379,BN,fedgkt noniid unbalanced
30,0.278926028481013,3.15711639063268,BN,fedgkt noniid unbalanced
31,0.290835970464135,2.92805428273567,BN,fedgkt noniid unbalanced
32,0.267108386075949,2.88019361184116,BN,fedgkt noniid unbalanced
33,0.279446861814346,3.32508492756493,BN,fedgkt noniid unbalanced
34,0.289220727848101,3.00242192619461,BN,fedgkt noniid unbalanced
35,0.287879087552743,2.99913080850231,BN,fedgkt noniid unbalanced
36,0.276882252109705,3.33831149455364,BN,fedgkt noniid unbalanced
37,0.285601265822785,3.39381290825107,BN,fedgkt noniid unbalanced
38,0.298978111814346,3.09891092520726,BN,fedgkt noniid unbalanced
39,0.297316719409283,2.88423405427973,BN,fedgkt noniid unbalanced
40,0.293407172995781,2.96650078724205,BN,fedgkt noniid unbalanced
41,0.279387526371308,3.71631667372547,BN,fedgkt noniid unbalanced
42,0.23653085443038,3.50160173856759,BN,fedgkt noniid unbalanced
43,0.308712420886076,2.90236299591225,BN,fedgkt noniid unbalanced
44,0.299198971518987,3.46895183194036,BN,fedgkt noniid unbalanced
45,0.304298523206751,3.19707932100014,BN,fedgkt noniid unbalanced
46,0.299126450421941,3.33868713056991,BN,fedgkt noniid unbalanced
47,0.274732990506329,3.29704840394515,BN,fedgkt noniid unbalanced
48,0.291686445147679,3.0790042895808,BN,fedgkt noniid unbalanced
49,0.322280458860759,2.84542350336469,BN,fedgkt noniid unbalanced
50,0.263920754219409,2.59626748189644,BN,fedgkt noniid unbalanced
