round,test_acc,test_loss,norm,scenario
1,0.100194488396624,2.63836087536711,GN,fedgkt noniid balanced
2,0.116627109704641,2.71551594100421,GN,fedgkt noniid balanced
3,0.105247890295359,2.60884322868621,GN,fedgkt noniid balanced
4,0.133415743670886,2.62521818549321,GN,fedgkt noniid balanced
5,0.134025580168776,2.78307401208435,GN,fedgkt noniid balanced
6,0.145338871308017,2.39051451164962,GN,fedgkt noniid balanced
7,0.165773338607595,2.59123721867171,GN,fedgkt noniid balanced
8,0.163268064345992,2.23866769613596,GN,fedgkt noniid balanced
9,0.185841904008439,2.31821024815241,GN,fedgkt noniid balanced
10,0.194353243670886,2.34542695082693,GN,fedgkt noniid balanced
11,0.186636339662447,2.33720878292237,GN,fedgkt noniid balanced
12,0.18540677742616,2.34297392790831,GN,fedgkt noniid balanced
13,0.182594936708861,2.39105094776878,GN,fedgkt noniid balanced
14,0.201068037974683,2.49645808960315,GN,fedgkt noniid balanced
15,0.191580959915612,2.36376395260734,GN,fedgkt noniid balanced
16,0.19903085443038,2.30398283361886,GN,fedgkt noniid balanced
17,0.204143591772152,2.23678332974639,GN,fedgkt noniid balanced
18,0.19560917721519,2.42823545143071,GN,fedgkt noniid balanced
19,0.205706091772152,2.075193402737,GN,fedgkt noniid balanced
20,0.215387658227848,2.25369977855481,GN,fedgkt noniid balanced
21,0.227050369198312,2.34730303770379,GN,fedgkt noniid balanced
22,0.216818301687764,2.30770586251207,GN,fedgkt noniid balanced
23,0.223826476793249,2.16737875470632,GN,fedgkt noniid balanced
24,0.220902558016878,2.43562260116706,GN,fedgkt noniid balanced
25,0.23986023206751,2.2539654975199,GN,fedgkt noniid balanced
26,0.24043710443038,2.25170392537419,GN,fedgkt noniid balanced
27,0.21928072257384,2.26524155758604,GN,fedgkt noniid balanced
28,0.245961893459916,2.09557863564431,GN,fedgkt noniid balanced
29,0.229486418776371,2.12405255122527,GN,fedgkt noniid balanced
30,0.250191191983122,2.2613654116538,GN,fedgkt noniid balanced
31,0.252017405063291,2.11411929824684,GN,fedgkt noniid balanced
32,0.258692642405063,2.41419259837911,GN,fedgkt noniid balanced
33,0.265193169831224,2.19651657871053,GN,fedgkt noniid balanced
34,0.249597837552743,2.5002066311454,GN,fedgkt noniid balanced
35,0.252089926160338,2.3281971900272,GN,fedgkt noniid balanced
36,0.256770833333333,2.22268915553636,GN,fedgkt noniid balanced
37,0.265888713080169,2.17801898486504,GN,fedgkt noniid balanced
38,0.254888581223629,2.24527728275911,GN,fedgkt noniid balanced
39,0.271004746835443,2.11705430197816,GN,fedgkt noniid balanced
40,0.243430247890295,2.58160029569256,GN,fedgkt noniid balanced
41,0.262087948312236,2.09418549889754,GN,fedgkt noniid balanced
42,0.264072389240506,2.3019098025837,GN,fedgkt noniid balanced
43,0.269729034810127,2.55345749226301,GN,fedgkt noniid balanced
44,0.274376977848101,2.29010800098065,GN,fedgkt noniid balanced
45,0.269686181434599,2.48352904108506,GN,fedgkt noniid balanced
46,0.300949367088608,2.12974653249048,GN,fedgkt noniid balanced
47,0.300023074894515,2.12341255517952,GN,fedgkt noniid balanced
48,0.307097178270042,1.99625827959318,GN,fedgkt noniid balanced
49,0.310855089662447,2.05170031388601,GN,fedgkt noniid balanced
50,0.314550369198312,2.15725047180924,GN,fedgkt noniid balanced
