round,epoch,train_loss,train_acc,norm,independence,balancement,seed
0,0,4.900325209325348,54.63293650591815,GN,noniid,unbalanced,0
0,1,6.078764453262055,41.693121691103336,GN,noniid,unbalanced,0
0,2,2.5732826837709313,35.97552909851074,GN,noniid,unbalanced,0
0,3,2.194989089622956,29.794973542955187,GN,noniid,unbalanced,0
0,4,2.1134034441990983,27.27182539480704,GN,noniid,unbalanced,0
0,5,2.1204018815248102,23.015873015368427,GN,noniid,unbalanced,0
0,6,2.1254114728283,21.99735449684991,GN,noniid,unbalanced,0
0,7,2.1311571072373123,22.645502644998057,GN,noniid,unbalanced,0
0,8,2.102764922325258,21.048280422775832,GN,noniid,unbalanced,0
0,9,2.1191679624495685,20.59193121592204,GN,noniid,unbalanced,0
1,0,2.2987546020959693,15.183982686234572,GN,noniid,unbalanced,0
1,1,2.0974983617293934,18.966450215699588,GN,noniid,unbalanced,0
1,2,2.081226187468232,18.80657221791501,GN,noniid,unbalanced,0
1,3,2.076924328797448,18.140003934707853,GN,noniid,unbalanced,0
1,4,2.0776535660110556,17.205332548493523,GN,noniid,unbalanced,0
1,5,2.0830005522273463,15.719696969696969,GN,noniid,unbalanced,0
1,6,2.070916607360209,18.543388429752067,GN,noniid,unbalanced,0
1,7,2.0612328228214882,19.71418732782369,GN,noniid,unbalanced,0
1,8,2.0594683317441915,19.197658402203857,GN,noniid,unbalanced,0
1,9,2.044262900004374,20.020661157024794,GN,noniid,unbalanced,0
2,0,2.4739626202348104,12.355060859645963,GN,noniid,unbalanced,0
2,1,2.4074992786073897,10.100896860986547,GN,noniid,unbalanced,0
2,2,2.3535697278420487,11.048206278026905,GN,noniid,unbalanced,0
2,3,2.335619517505971,9.243273542600896,GN,noniid,unbalanced,0
2,4,2.312546806485129,6.79372197309417,GN,noniid,unbalanced,0
2,5,2.29263719635694,7.2757847533632285,GN,noniid,unbalanced,0
2,6,2.2819999435022806,6.631165919282512,GN,noniid,unbalanced,0
2,7,2.272529186154695,7.040358744394619,GN,noniid,unbalanced,0
2,8,2.267890725435163,5.697469570177018,GN,noniid,unbalanced,0
2,9,2.2618128071985972,6.856181935879147,GN,noniid,unbalanced,0
3,0,2.298876115075358,18.29420579230035,GN,noniid,unbalanced,0
3,1,2.172134324387237,19.456793204887763,GN,noniid,unbalanced,0
3,2,2.1651203757399444,19.63161837971294,GN,noniid,unbalanced,0
3,3,2.1533374323711527,18.613261736356296,GN,noniid,unbalanced,0
3,4,2.1330700291620266,18.412212785307343,GN,noniid,unbalanced,0
3,5,2.129041407491777,17.96640858950315,GN,noniid,unbalanced,0
3,6,2.114694103494391,17.82654844964301,GN,noniid,unbalanced,0
3,7,2.096687690778212,18.37724775034231,GN,noniid,unbalanced,0
3,8,2.104272207596919,18.735639358733916,GN,noniid,unbalanced,0
3,9,2.0953540610266734,19.111513484608043,GN,noniid,unbalanced,0
4,0,1.989156351335025,23.387517796006314,GN,noniid,unbalanced,0
4,1,1.8513109652306947,28.774916943521596,GN,noniid,unbalanced,0
4,2,1.8105543758782041,28.852634075076082,GN,noniid,unbalanced,0
4,3,1.7929926241355085,29.680232558139537,GN,noniid,unbalanced,0
4,4,1.7821095504634008,29.7122686265711,GN,noniid,unbalanced,0
4,5,1.7607746150010448,30.278239202657808,GN,noniid,unbalanced,0
4,6,1.75143716580844,30.84183673288339,GN,noniid,unbalanced,0
4,7,1.7391308252993611,31.16457047573356,GN,noniid,unbalanced,0
4,8,1.7310481851679147,31.74715234750133,GN,noniid,unbalanced,0
4,9,1.7253703219549996,31.773255813953487,GN,noniid,unbalanced,0
5,0,2.305269213157824,19.243637109624927,GN,noniid,unbalanced,0
5,1,2.248744725153364,19.20155993412281,GN,noniid,unbalanced,0
5,2,2.21385114751328,19.36678981918028,GN,noniid,unbalanced,0
5,3,2.2140325124578912,18.278427750214764,GN,noniid,unbalanced,0
5,4,2.1578640044591895,19.025554186996374,GN,noniid,unbalanced,0
5,5,2.18275659899602,19.014778324927406,GN,noniid,unbalanced,0
5,6,2.1443095256028504,21.5963669946824,GN,noniid,unbalanced,0
5,7,2.1257498264312744,22.706280787785847,GN,noniid,unbalanced,0
5,8,2.0969143624620874,21.32081280768603,GN,noniid,unbalanced,0
5,9,2.0960042492069046,22.046387520329706,GN,noniid,unbalanced,0
6,0,1.9503644741197148,32.26693493659508,GN,noniid,unbalanced,0
6,1,1.825495982114138,36.833920187793424,GN,noniid,unbalanced,0
6,2,1.768600634915728,37.69156606432418,GN,noniid,unbalanced,0
6,3,1.7491658541238364,38.087692824887554,GN,noniid,unbalanced,0
6,4,1.7367478709125743,38.06044600938967,GN,noniid,unbalanced,0
6,5,1.730275949192159,38.10446009389671,GN,noniid,unbalanced,0
6,6,1.7288831836181067,37.995892018779344,GN,noniid,unbalanced,0
6,7,1.719266815574516,37.79049295774648,GN,noniid,unbalanced,0
6,8,1.7246111189255693,37.82276995305164,GN,noniid,unbalanced,0
6,9,1.7232687490786744,37.63204225352113,GN,noniid,unbalanced,0
7,0,1.9986130011186265,22.59586466069807,GN,noniid,unbalanced,0
7,1,1.9415471704382645,27.163533829806145,GN,noniid,unbalanced,0
7,2,1.8672243208215948,28.949248123168946,GN,noniid,unbalanced,0
7,3,1.822988023674279,31.72556391264263,GN,noniid,unbalanced,0
7,4,1.7772722710642899,33.60275689509877,GN,noniid,unbalanced,0
7,5,1.751555706116191,35.209273187737715,GN,noniid,unbalanced,0
7,6,1.7277646656621966,36.23684210860938,GN,noniid,unbalanced,0
7,7,1.716991342787157,36.44047619334438,GN,noniid,unbalanced,0
7,8,1.7022146323270966,36.922932333695265,GN,noniid,unbalanced,0
7,9,1.6846268325521234,37.161027573702626,GN,noniid,unbalanced,0
8,0,2.062974381549605,26.3654556712885,GN,noniid,unbalanced,0
8,1,2.010641574859619,24.04351396122198,GN,noniid,unbalanced,0
8,2,1.9300877933187046,24.880439248578302,GN,noniid,unbalanced,0
8,3,1.9179515799229172,24.651580459770116,GN,noniid,unbalanced,0
8,4,1.915805964805614,25.664511494252874,GN,noniid,unbalanced,0
8,5,1.90334672900452,24.948173235202656,GN,noniid,unbalanced,0
8,6,1.8814154683515942,26.1566091954023,GN,noniid,unbalanced,0
8,7,1.868653854419445,26.25821018218994,GN,noniid,unbalanced,0
8,8,1.8525809025627442,26.87397373133692,GN,noniid,unbalanced,0
8,9,1.8350782606793545,27.664203616394392,GN,noniid,unbalanced,0
9,0,2.0124944335222246,30.752380962371827,GN,noniid,unbalanced,0
9,1,1.975257045229276,30.76250000635783,GN,noniid,unbalanced,0
9,2,1.887228724360466,31.591666673024495,GN,noniid,unbalanced,0
9,3,1.8535654973983764,30.21369048436483,GN,noniid,unbalanced,0
9,4,1.7974734256664913,30.116666679382323,GN,noniid,unbalanced,0
9,5,1.7666575648387273,31.037500012715658,GN,noniid,unbalanced,0
9,6,1.7433624200026194,33.78750001271566,GN,noniid,unbalanced,0
9,7,1.740758585333824,33.24047620137532,GN,noniid,unbalanced,0
9,8,1.7194338776667912,36.176190490722654,GN,noniid,unbalanced,0
9,9,1.6894014706214269,37.23869048436483,GN,noniid,unbalanced,0
10,0,2.250060952338977,23.322328936152097,GN,noniid,unbalanced,0
10,1,1.9731108548135317,23.371098438230884,GN,noniid,unbalanced,0
10,2,1.8808031330714707,26.65366146344097,GN,noniid,unbalanced,0
10,3,1.837856381755917,29.878451379407355,GN,noniid,unbalanced,0
10,4,1.8068437435108573,30.843337339513443,GN,noniid,unbalanced,0
10,5,1.787447369430496,31.03241296976554,GN,noniid,unbalanced,0
10,6,1.7724993723530729,31.210984398336972,GN,noniid,unbalanced,0
10,7,1.7607733239771939,31.615396163042853,GN,noniid,unbalanced,0
10,8,1.7471168599709743,31.421068431950417,GN,noniid,unbalanced,0
10,9,1.7351763460691236,31.484093642034452,GN,noniid,unbalanced,0
11,0,2.052769494782977,28.39810924369748,GN,noniid,unbalanced,0
11,1,2.000657963402131,24.653361344537814,GN,noniid,unbalanced,0
11,2,1.9289877953148689,22.42121848739496,GN,noniid,unbalanced,0
11,3,1.8674782822612954,24.29621848739496,GN,noniid,unbalanced,0
11,4,1.832881442138127,23.756752703370168,GN,noniid,unbalanced,0
11,5,1.814084819885863,24.192677073118066,GN,noniid,unbalanced,0
11,6,1.792973066828832,24.45528211513487,GN,noniid,unbalanced,0
11,7,1.787917996905431,24.47103841765588,GN,noniid,unbalanced,0
11,8,1.7763710695655406,24.681122451269324,GN,noniid,unbalanced,0
11,9,1.7738755107426845,24.576080434462604,GN,noniid,unbalanced,0
12,0,2.2508917017073573,14.888675406009336,GN,noniid,unbalanced,0
12,1,2.080497475741785,17.803458406955382,GN,noniid,unbalanced,0
12,2,2.0300164339663107,20.426650095589554,GN,noniid,unbalanced,0
12,3,1.9991199857071986,21.555153713950627,GN,noniid,unbalanced,0
12,4,1.9803658814369878,22.363245933870726,GN,noniid,unbalanced,0
12,5,1.9650151307069803,23.344258592098573,GN,noniid,unbalanced,0
12,6,1.9534590144323398,23.44032550159889,GN,noniid,unbalanced,0
12,7,1.9418356073430822,23.986211577548257,GN,noniid,unbalanced,0
12,8,1.9327287243891367,24.298711577548257,GN,noniid,unbalanced,0
12,9,1.9224442666089987,25.19439422027974,GN,noniid,unbalanced,0
13,0,2.0029182868759805,24.340156797083413,GN,noniid,unbalanced,0
13,1,1.9470644362089111,27.338850179532677,GN,noniid,unbalanced,0
13,2,1.9174366224102857,27.933362367676526,GN,noniid,unbalanced,0
13,3,1.9034563372774822,27.014372822133506,GN,noniid,unbalanced,0
13,4,1.8748888284694858,27.306184666331223,GN,noniid,unbalanced,0
13,5,1.8585502377370509,27.62412892434655,GN,noniid,unbalanced,0
13,6,1.845165033602133,27.56968640699619,GN,noniid,unbalanced,0
13,7,1.8291868308695352,27.79616725386643,GN,noniid,unbalanced,0
13,8,1.8138041368344935,29.030923343286283,GN,noniid,unbalanced,0
13,9,1.7962774119726042,29.116289206248958,GN,noniid,unbalanced,0
14,0,1.992346384794609,22.27930707709734,GN,noniid,unbalanced,0
14,1,1.9395412559129075,26.89487423057176,GN,noniid,unbalanced,0
14,2,1.8859195370610766,27.42465591430664,GN,noniid,unbalanced,0
14,3,1.8449419146756396,28.598125299346012,GN,noniid,unbalanced,0
14,4,1.8274697281197456,28.20064072593106,GN,noniid,unbalanced,0
14,5,1.8040529370703966,28.607617470117106,GN,noniid,unbalanced,0
14,6,1.7842366414212705,28.773730426927738,GN,noniid,unbalanced,0
14,7,1.768944580293573,28.859753206322754,GN,noniid,unbalanced,0
14,8,1.7583312770456967,29.171215000342688,GN,noniid,unbalanced,0
14,9,1.7487496149500343,29.186639773093187,GN,noniid,unbalanced,0
15,0,2.1352994520002633,23.555534782209946,GN,noniid,unbalanced,0
15,1,2.014707636146645,23.233919223565707,GN,noniid,unbalanced,0
15,2,1.8765326126707786,24.000560960220415,GN,noniid,unbalanced,0
15,3,1.7748087625853055,28.755609572245813,GN,noniid,unbalanced,0
15,4,1.7064522804390074,31.088257295298952,GN,noniid,unbalanced,0
15,5,1.6469186680167134,31.853964101581674,GN,noniid,unbalanced,0
15,6,1.648371148015816,31.685676894262823,GN,noniid,unbalanced,0
15,7,1.636434398396477,31.47625281049319,GN,noniid,unbalanced,0
15,8,1.6166599626160416,33.4134255853623,GN,noniid,unbalanced,0
15,9,1.5892670560257598,32.22045624817853,GN,noniid,unbalanced,0
16,0,2.1995511417647444,22.164371777729816,GN,noniid,unbalanced,0
16,1,2.0027544676180344,25.154367469879517,GN,noniid,unbalanced,0
16,2,1.9467666590788277,26.56518932710211,GN,noniid,unbalanced,0
16,3,1.8914562567888973,28.138984507825,GN,noniid,unbalanced,0
16,4,1.8560671958937702,28.571966435535845,GN,noniid,unbalanced,0
