Epochs,Train Loss Average,Test Loss,Test accuracy
0,2.420560008297099,2.3588350112915037,0.1223
1,2.2996458427083493,2.269278019332886,0.1303
2,2.2144202658963206,2.1869020626068116,0.1817
3,2.1517958032584192,2.1512105995178223,0.2073
4,2.109286847516894,2.076473093032837,0.2321
5,2.080746789786816,2.0540828022003175,0.2315
6,2.064332342160344,2.039454712677002,0.2276
7,2.056869861589074,2.0386480144500734,0.23
8,2.04158992574811,2.0370722536087036,0.2337
9,2.0230185279279946,2.0206638427734376,0.2554
10,2.008545265471935,2.037414228248596,0.2339
11,1.9994652597540619,2.0153982259750367,0.2439
12,1.974440903620124,2.010688961982727,0.2466
13,1.962549923129678,1.997032755088806,0.2562
14,1.951736806119681,1.9983216751098634,0.2584
15,1.9434717802441122,2.016542319869995,0.2579
16,1.9238781613117453,1.9988908758163453,0.2579
17,1.9106468695354462,1.9833465879440308,0.2713
18,1.899825234721303,1.9735170806884765,0.2708
19,1.8861338845801352,1.970799760055542,0.277
20,1.8703296227586268,1.9662572343826294,0.2779
21,1.8660054090762137,1.9663691040039062,0.2791
22,1.8558686559683082,1.9531453603744506,0.2773
23,1.843206625208855,1.9497415382385255,0.2811
24,1.8387866022288797,1.9390556970596313,0.2806
25,1.8318675851672885,1.9442277435302735,0.2884
26,1.8160142337173224,1.9333261081695556,0.2846
27,1.8148267738735673,1.9315300329208374,0.2921
28,1.8113099787080287,1.924831342124939,0.2884
29,1.7894630030089616,1.9264442003250122,0.2892
30,1.775047902055979,1.904575270652771,0.2983
31,1.7694495692551135,1.9065577125549316,0.2949
32,1.7543979740190505,1.898822367668152,0.302
33,1.7521459428924324,1.8966983324050903,0.3073
34,1.743120477117002,1.8799874452590943,0.3123
35,1.733956101900637,1.8671014270782471,0.3161
36,1.7169692326277495,1.8652649806976318,0.3193
37,1.6998468083372713,1.853539137840271,0.3201
38,1.6946278135076167,1.8538330307006836,0.3216
39,1.6853049280858041,1.854016023826599,0.3201
40,1.6745115128636356,1.8398589511871337,0.3331
41,1.6618236651307345,1.8405396659851074,0.3262
42,1.6523016894671319,1.8251180437088013,0.3352
43,1.6522167746853829,1.8191316074371338,0.3382
44,1.634644255924523,1.808236604118347,0.3378
45,1.627906344205141,1.809373900794983,0.3375
46,1.6198502885133028,1.8022060916900635,0.3339
47,1.600405470304191,1.7907026121139527,0.3473
48,1.6015148960503935,1.7799130680084227,0.3503
49,1.5794477283793686,1.771869397354126,0.3548
