Epochs,Train Loss Average,Test Loss,Test accuracy
0,16.02279776426462,5.539494705657228,0.1
1,9.155391381337092,3.670035157340784,0.1198
2,4.507333894876334,2.6794782553237084,0.1002
3,2.9334396233925455,2.432567448661731,0.1
4,2.7393385612047636,2.383954402356864,0.1338
5,2.6660357291881853,2.3264136101110293,0.1281
6,2.622229321186359,2.37071489449888,0.1
7,2.5880314368468067,2.3171566507686823,0.1357
8,2.508503846021799,2.265121405117047,0.1666
9,2.5481628968165473,2.272575876964167,0.1427
10,2.498876677109645,2.214221141589716,0.1698
11,2.4316483937777003,2.1616186185385855,0.196
12,2.4245809380824754,2.171388362924131,0.1653
13,2.3902939319610597,2.1755886923390837,0.1704
14,2.3191656965475813,2.1746945343078514,0.1592
15,2.3915216161654547,2.1249877583866303,0.1671
16,2.3013418115102326,2.132280907691858,0.1721
17,2.2825956528003397,2.0741759953788295,0.2113
18,2.306088817119598,2.0757750935447863,0.2107
19,2.3375782168828527,2.0544009444812614,0.2388
20,2.2596258731988756,2.0689068857473307,0.2089
21,2.2486992835998536,2.0387378892959496,0.2094
22,2.2569910251177276,2.0455131047069073,0.2262
23,2.2081565462625945,2.0130067751430474,0.2136
24,2.2464202257303088,2.0258159816455534,0.217
25,2.2321159014335046,2.023364894687177,0.2229
26,2.183006418668307,2.0287337767811247,0.2229
27,2.216976301486676,2.0216576264689143,0.2399
28,2.157943239578834,2.0104640025300338,0.2262
29,2.1936966996926524,1.982729320708936,0.2482
30,2.2031013094461884,1.9910921090707991,0.2458
31,2.192189565071693,2.000096024034884,0.2306
32,2.1636783067996688,1.983003179105326,0.2582
33,2.1873181599837084,1.9687663990849504,0.2538
34,2.159225532641778,1.9777872863288124,0.2408
35,2.140845066767472,1.9789413221347065,0.2642
36,2.1315152727640596,1.9818747321637675,0.2501
37,2.1414518585571876,1.955256508942991,0.2658
38,2.1473318595152633,1.9367325724885105,0.2533
39,2.116825528328236,1.9278851777981645,0.2662
40,2.140047793204968,1.9619894526637018,0.2633
41,2.1096038139783415,1.9046769081213224,0.2733
42,2.1043966889381407,1.9187786800031084,0.268
43,2.1302637705436123,1.9245848103453176,0.2826
44,2.087971956913288,1.915232877761792,0.2843
45,2.1141812507922837,1.9298250256255032,0.2793
46,2.084958882515247,1.922457007173532,0.2798
47,2.0966505848444426,1.8992627904818842,0.2755
48,2.0760552910658028,1.9021016397415258,0.2811
49,2.0529420064045834,1.8898912877701342,0.2973
50,2.0650008935194752,1.8867657397882627,0.2846
51,2.090156454306382,1.8939012311898862,0.2936
52,2.0425892600646387,1.888763573603889,0.2766
53,2.06793334209002,1.8732944399404068,0.3014
54,2.0260976296204785,1.8613749643484243,0.2988
55,2.0547152610925528,1.8903908603869306,0.2971
56,2.0463328957557683,1.8503926341145183,0.3098
57,2.019264232195341,1.8832788196996377,0.2783
58,2.041385406714219,1.880055380324586,0.2931
59,2.022079515457153,1.8565176184565877,0.3082
60,2.0211192580369803,1.8653070294438079,0.292
61,2.0247649091940656,1.833259511679506,0.3225
62,2.025021958351135,1.8553251050912534,0.3066
63,1.9792266882382907,1.8468459303767537,0.305
64,1.9996048248731175,1.8423973268594225,0.3176
65,2.0070382274114165,1.8351176432527292,0.3065
66,2.018273726793436,1.83756603638585,0.3182
67,2.035578219707195,1.8306775561536843,0.3065
68,1.9937077714846687,1.8181845749529024,0.3334
69,1.9907019761892468,1.817018923668054,0.3185
70,2.0071344430630025,1.810067021427825,0.3364
71,2.0023692727088926,1.8144949975486,0.3293
72,1.97644794354072,1.8274450724879012,0.3223
73,1.9467530030470628,1.8024104136628465,0.3301
74,1.9821008150394146,1.8213314895812696,0.3314
75,1.9615467640069817,1.7977417120918298,0.3233
76,1.9594828339723442,1.8250611315900906,0.3244
77,1.9590296754470238,1.8162627109704308,0.3221
78,1.9472556380125194,1.8076940561635806,0.3252
79,1.9488699005200316,1.8050019973383162,0.3228
80,1.9500904715978185,1.8012914966089657,0.3253
81,1.942716273894677,1.7836439007768234,0.3357
82,1.9622582270548896,1.7791557689063466,0.3463
83,1.9609367443965031,1.786669880437394,0.3414
84,1.9479538504893963,1.7713054635654242,0.3482
85,1.9740203041296738,1.7626140376630302,0.3525
86,1.8835009107222926,1.803403516927847,0.3294
87,1.962666788467994,1.7800440761608818,0.3431
88,1.9559675317544205,1.788887258535757,0.343
89,1.9407409521249626,1.7685318221680273,0.3498
90,1.95342427950639,1.7636391031094634,0.346
91,1.9443320888739364,1.7871311358369577,0.3395
92,1.921479219656724,1.7591854512881928,0.3424
93,1.9126248286320613,1.7817474314199089,0.3425
94,1.943371420640212,1.7644398353351192,0.3516
95,1.8977866548758289,1.7505858953768454,0.3522
96,1.9178029812299286,1.7462676744491528,0.3629
97,1.9063950832073506,1.7453591758831621,0.3564
98,1.8994154306558464,1.7390418121228204,0.3597
99,1.9265161385902996,1.7365182017365965,0.3679
