Epochs,Train Loss Average,Test Loss,Test accuracy
0,2.4327033967971805,2.3098547518253327,0.1011
1,2.318957849884033,2.3447080619335177,0.1249
2,2.2137078350067134,2.352010399699211,0.1413
3,2.1426053246974943,2.2607004005908964,0.2029
4,2.0752581923961637,2.3039856016635896,0.2222
5,2.0314610934734345,2.3442149740457534,0.2256
6,1.9801704043388366,2.2670943723917008,0.2591
7,1.9367465549468996,2.140867967247963,0.2997
8,1.9059733625173567,2.219164338350296,0.295
9,1.8634857770442963,2.3016110216975214,0.3022
10,1.8205325453281405,2.341946571290493,0.3115
11,1.7892353339672087,2.440533613026142,0.3083
12,1.7514622778177262,2.546304439663887,0.3133
13,1.719470649313927,2.6253695202469824,0.3183
14,1.6939044682025908,2.569709594666958,0.3233
15,1.6695196789026263,2.7292182021141054,0.3173
16,1.630279519748688,2.743504744768143,0.3263
17,1.6066446884155272,2.729344956099987,0.3289
18,1.5779862921237942,2.9660829882621766,0.3244
19,1.5471498118400575,2.97254637157917,0.3317
20,1.5174169861555102,2.937764770269394,0.3372
21,1.4909469715356827,3.0860827710032464,0.3475
22,1.4649487062931061,3.1594055733680726,0.3422
23,1.4428616284608842,3.4232830070257187,0.3414
24,1.4235760659217835,3.2507324608564376,0.3485
25,1.3928728197574618,3.3010220707654954,0.3466
26,1.3778715470314022,3.4848141517043114,0.3546
27,1.342964408326149,3.5642664383649825,0.3413
28,1.339330789101124,3.3927542272806166,0.3597
29,1.2929521060466769,3.482084087610245,0.3634
30,1.2823028052806855,3.402744593799114,0.357
31,1.2625301422119142,3.5060508714318277,0.3645
32,1.2254279699087143,3.5949700363874437,0.3649
33,1.227988544511795,3.7066924774050714,0.3601
34,1.1922364951968194,3.8359460983276366,0.3588
35,1.1779005296349525,3.874420522630215,0.3663
36,1.14614888561368,3.9814360033869742,0.3543
37,1.1306128867268563,3.9595391167998315,0.3691
38,1.1186917615532876,3.9536226732730864,0.3715
39,1.107572638463974,4.3257439079880715,0.3595
40,1.0763049769043924,4.143674735426902,0.3753
41,1.0619187143445015,4.08734861946106,0.3774
42,1.0500088539659975,4.05792501360178,0.3791
43,1.0285445005357265,4.2721881565451625,0.3714
44,1.0115089596629143,4.502660299956799,0.364
45,0.9922864609569311,4.518560161113739,0.3777
46,0.9743416186213493,4.487748130261898,0.3651
47,0.9623006487309933,4.431807298600674,0.3738
48,0.951645620840788,4.611523394316435,0.3767
49,0.9243612861514091,4.641740096926689,0.3753
