Epochs,Train Loss Average,Test Loss,Test accuracy
0,1.1183581686265824,2.7368034230002873,0.1
1,1.4191208839416505,2.8980620661868324,0.1031
2,1.162515862286091,2.7802636955357807,0.112
3,1.062502446770668,2.931012742127044,0.1005
4,1.0847178623080254,2.9228313452080834,0.113
5,1.060006920993328,3.1213642343690124,0.1
6,1.1094121590256691,3.036887890175928,0.1112
7,1.0679772451519967,3.25428681735751,0.1
8,1.102269673347473,3.1090468937837623,0.109
9,1.0619312971830368,3.2573620126217224,0.1
10,1.0978057578206062,3.2034055613264254,0.1008
11,1.060475431382656,3.271696241596077,0.1
12,1.0827050909399987,3.210455420651013,0.1009
13,1.0637962847948075,3.2966979696780823,0.0999
14,1.0685666084289551,3.2722170956527132,0.1021
15,1.0392470940947534,3.3811200691174856,0.1
16,1.0949615359306335,3.287471792365931,0.1045
17,1.0816818848252296,3.3687952017482323,0.1
18,1.080085003376007,3.370872056936916,0.1004
19,1.0906621605157851,3.4277529354336895,0.1
20,1.0603657320141793,3.358577725253528,0.102
21,1.0391394376754761,3.4133351935616023,0.1
22,1.0604331538081169,3.3611102798317054,0.1043
23,1.0402770891785622,3.421556961687305,0.1003
24,1.0763690963387489,3.4053850355027597,0.1013
25,1.0241275981068612,3.5157810042176068,0.1001
26,1.0457075968384744,3.450090858000743,0.105
27,1.0376821383833885,3.498518916625011,0.1
28,1.0509761929512025,3.4811913423900362,0.1071
29,1.0272402733564376,3.507218879989431,0.0999
30,1.0392266005277633,3.453934099100813,0.1051
31,1.0063592091202735,3.56047375896309,0.1
32,1.0400259800255298,3.5004157657864727,0.1054
33,1.0474571876227856,3.566835020161882,0.1001
34,1.0324955515563488,3.482068861587138,0.1078
35,1.0109346836805344,3.6010234205028677,0.1
36,1.0134191811084747,3.5183479906637456,0.1058
37,0.9939255490899086,3.611071471926532,0.1001
38,1.0106367968022822,3.558719290962702,0.1057
39,0.9774752818048,3.558492307421527,0.1014
40,1.0202343299984933,3.5343312402314777,0.1088
41,0.9740423157811164,3.552242912823641,0.1016
42,0.9993056938052177,3.5334181272530856,0.1133
43,0.9590810716152192,3.5820359399047077,0.1018
44,0.9767873600125313,3.5589233229431927,0.1109
45,0.982263021171093,3.5780928014199946,0.1028
46,0.9745900660753251,3.5356896617744544,0.1112
47,0.9519685685634613,3.5661081030398987,0.1052
48,0.9575437389314174,3.5945887505253658,0.1064
49,0.954968175292015,3.6219989348061477,0.1024
