Epochs,Train Loss Average,Test Loss,Test accuracy
0,2.4079302696228027,2.2994115295410156,0.13
1,2.2594239144802097,2.174947736263275,0.1869
2,2.151507901573181,2.0022532155513764,0.2627
3,2.0782898176193236,1.9567592636346818,0.2758
4,2.0066554882049563,1.9732899115085603,0.2918
5,1.9554875108242036,1.9021859716773033,0.3131
6,1.90472492980957,1.8882551124691964,0.3292
7,1.8614982469558714,1.862539399445057,0.3416
8,1.820283157157898,1.8347457322478293,0.3559
9,1.7787819716453552,1.769881035745144,0.3785
10,1.7356788428068164,1.7393382398486137,0.3922
11,1.7056240069866182,1.7330211362242698,0.3963
12,1.6624480946063998,1.7244330521821976,0.4128
13,1.6327000344276423,1.7038601385951042,0.4216
14,1.6109967584848401,1.7032933562397956,0.4191
15,1.5730225711584092,1.6785405614972115,0.4337
16,1.5319320935726168,1.6389988965988158,0.4445
17,1.5040302974700928,1.6223312816023827,0.4557
18,1.483182155919075,1.5996338457465171,0.4634
19,1.4470547233104707,1.6106395704746246,0.4682
20,1.413670518016815,1.598977542757988,0.4696
21,1.3890563408613203,1.5911985205709933,0.4696
22,1.3736530069947244,1.5587342344522477,0.4865
23,1.3436362454295157,1.6027499288022518,0.4823
24,1.3307184591770171,1.5523046384304762,0.489
25,1.29242327208519,1.5334749522805213,0.4988
26,1.2777042493224144,1.5573061420917511,0.4982
27,1.2505992128014563,1.6198927957713605,0.4985
28,1.2372354110598565,1.5571251866221427,0.499
29,1.2015954118967056,1.5596783480346204,0.5079
30,1.1820449476957322,1.5210629014521837,0.5229
31,1.1707603341102601,1.5555943386256694,0.5174
32,1.1326898494124413,1.5316643038839102,0.5238
33,1.1360032356977463,1.517588129758835,0.5248
34,1.1026022942543032,1.515460457533598,0.5267
35,1.0866739045560359,1.5140405956804752,0.5295
36,1.055900216269493,1.533418797299266,0.5331
37,1.0409975107967853,1.5108396078050137,0.5338
38,1.022443763166666,1.5754670428186655,0.53
39,1.0211774179995063,1.5404936549067498,0.5398
40,0.988771253401041,1.5304739937633276,0.5414
41,0.9749210343748331,1.57615175922215,0.5392
42,0.9597653376877309,1.5292849094718695,0.5492
43,0.9430949269264935,1.5435495448559522,0.5506
44,0.9247465065956113,1.5323919315636159,0.5563
45,0.9045970252156259,1.5289839317798615,0.5448
46,0.8914956544101237,1.5260174822807313,0.5463
47,0.8743686225116253,1.549987545415759,0.5508
48,0.8743178496569396,1.51420215074718,0.5598
49,0.8498922268867493,1.4888951462209226,0.5604
