Epochs,Train Loss Average,Test Loss,Test accuracy
0,2.4278763006627555,2.269931988143921,0.1257
1,2.2287314138561487,2.121579280281067,0.1909
2,2.1155458910018203,2.119293478012085,0.2065
3,2.046199357062578,1.9624506803512574,0.2564
4,1.9799454971402883,1.9211146574020386,0.2897
5,1.9291286410391333,1.8660473894119263,0.3107
6,1.893265770897269,1.825866707611084,0.3282
7,1.8578034975007178,1.8245173057556152,0.3405
8,1.8261674648523332,1.8444964775085448,0.3365
9,1.7862372224777936,1.7812230808258056,0.357
10,1.7422750915214418,1.7757807628631592,0.3689
11,1.7267870257794857,1.6934636120796203,0.3888
12,1.686621291786432,1.697053070449829,0.391
13,1.664722914658487,1.7121924208641053,0.3917
14,1.6491646998748184,1.6491257672309876,0.4123
15,1.621348125860095,1.644463520336151,0.409
16,1.5967303576320409,1.6343444323539733,0.418
17,1.5678873935341837,1.636300242328644,0.4203
18,1.5461207062378526,1.581055179786682,0.4292
19,1.5183748557791115,1.6207344171524047,0.4318
20,1.5011333584040403,1.586493884754181,0.4403
21,1.4796565051563086,1.621938680267334,0.4372
22,1.4666080108657478,1.5337318167686462,0.4554
23,1.4440981567651037,1.560944783782959,0.4547
24,1.4243020879849793,1.5525051597595214,0.4559
25,1.4099986718222497,1.5401876600265503,0.4656
26,1.3949234031513336,1.5394264232635497,0.4671
27,1.3674513817951084,1.5431593178749083,0.4654
28,1.3608469724655152,1.4783754183769227,0.479
29,1.334071955829859,1.5395354726791382,0.4684
30,1.3244698186591266,1.4668777420043946,0.4915
31,1.3072391061298547,1.5233956914901734,0.4795
32,1.2740155970863998,1.4788543325424195,0.4836
33,1.268381405826658,1.4553221501350402,0.4952
34,1.2457154620811344,1.4405063755989074,0.4962
35,1.240334260240197,1.4251729454994202,0.5065
36,1.214244013149291,1.4566236729621886,0.4997
37,1.2030016206577419,1.4078031135559081,0.5118
38,1.1895715211145579,1.4266020805358888,0.5115
39,1.1723149330727758,1.4353767010688783,0.5144
40,1.1513023777678606,1.4328619750976563,0.5144
41,1.1341225650627167,1.4040248826026918,0.5184
42,1.1245691650360823,1.3989564041137694,0.5211
43,1.113974045533687,1.5427416529655456,0.4985
44,1.0936736748740077,1.4165344740867614,0.5266
45,1.0767030075471848,1.412271580171585,0.5163
46,1.0607164348848162,1.3759622828960418,0.5333
47,1.0548228063061835,1.3941107898712157,0.5294
48,1.0436742744408547,1.3721645713806152,0.5417
49,1.0161993037723005,1.4053210572242736,0.5367
