Epochs,Train Loss Average,Test Loss,Test accuracy
0,1.263536200387776,5.139692177772522,0.1
1,0.8584174031436443,3.0252622596025467,0.1
2,0.738175945687294,2.8437249178886415,0.1005
3,0.7055918173789977,2.8013215305805206,0.1133
4,0.6754539688050747,2.789962361931801,0.1159
5,0.6563167181938887,2.7994251660108564,0.1319
6,0.6481692316889762,2.847479339599609,0.139
7,0.6359774831444025,2.866498383164406,0.1441
8,0.623830592186749,2.837041106581688,0.1455
9,0.6148351657360793,2.835974828004837,0.1446
10,0.594015645173937,2.827408301115036,0.1537
11,0.5883456255823375,2.805582535624504,0.1488
12,0.5799377328947186,2.8015873330831527,0.1516
13,0.5801585994243621,2.798811800956726,0.1459
14,0.5675500928089023,2.8234487521648406,0.1531
15,0.5627861880674958,2.7979818112850188,0.1456
16,0.5554040969610214,2.831164105653763,0.1461
17,0.5489972703769803,2.7677946724891664,0.1535
18,0.5427861334986985,2.790984454393387,0.1547
19,0.5405117885336279,2.8405846582651137,0.1572
20,0.5275987868726253,2.716464856386185,0.1566
21,0.5282380578227341,2.717955255866051,0.1536
22,0.5255150017514825,2.7423769590854645,0.1519
23,0.5259036036923528,2.697333292841911,0.16
24,0.51513846963346,2.7153768783807752,0.1599
25,0.5183927775487304,2.7449512729644776,0.1578
26,0.5131647836439311,2.7035718171596526,0.162
27,0.5107003338336944,2.7377702193260194,0.1593
28,0.5075917220875621,2.671045435547829,0.1666
29,0.497923263868317,2.6953674263954164,0.1665
30,0.5035343692690134,2.6546693774461745,0.1688
31,0.49525615313202137,2.654294338107109,0.1681
32,0.49112281155735255,2.6833265597820284,0.1665
33,0.48824022567048664,2.6530683562755586,0.174
34,0.4858276588894427,2.6726927663087845,0.1673
35,0.4862644773513078,2.647160929441452,0.1737
36,0.4826356911431997,2.6815500773191454,0.174
37,0.4791721274029464,2.669733638048172,0.1676
38,0.4785347218148409,2.6324691801071167,0.1754
39,0.475138488972187,2.6589748336076737,0.1713
40,0.4712670089725406,2.628142304420471,0.1772
41,0.46711315531954173,2.640306377649307,0.1761
42,0.4616660583391786,2.605767356872559,0.1828
43,0.4655706905707717,2.60080264878273,0.1825
44,0.46245867531076074,2.5893855412006377,0.1845
45,0.45531214896887545,2.588016448736191,0.1889
46,0.45357171581834554,2.6007822104692457,0.189
47,0.450910435706377,2.577500258922577,0.1946
48,0.44932242098189895,2.5710176159143447,0.1932
49,0.4512334056336432,2.5791885921955107,0.1952
