Epochs,Train Loss Average,Test Loss,Test accuracy
0,3.0608068164348605,2.3698039519786835,0.1
1,2.3936500972747803,2.2896357259750366,0.1366
2,2.3012828784942623,2.1660695666074754,0.189
3,2.1987170426845557,2.0830735679864882,0.2156
4,2.1309294586658476,2.033717919707298,0.2266
5,2.1002581451892857,2.020209386229515,0.2307
6,2.0890880903244016,2.0170998007059096,0.2294
7,2.0654847653388977,2.0035266410112382,0.2355
8,2.0509237783908842,1.9844616159200668,0.2446
9,2.0323512991428374,1.9728366014957428,0.2605
10,2.017397115993499,1.9608211146593093,0.2654
11,1.9975593512058256,1.9420874577760696,0.2791
12,1.9893324853897094,1.9398481780290604,0.2643
13,1.9698551632404324,1.9209692120552062,0.2752
14,1.9558866277217863,1.9074609286785125,0.2902
15,1.9424962350845338,1.9061034516096116,0.2851
16,1.9279980329990387,1.8854017024040222,0.2961
17,1.9113103132247926,1.8681707512140273,0.3105
18,1.8994435086727144,1.8508502258062363,0.3145
19,1.8826816826820374,1.8355976685285569,0.317
20,1.8754385892391205,1.8428151984214782,0.3068
21,1.8635838320255282,1.8350061199665069,0.3232
22,1.852597513580322,1.8087178353071214,0.3371
23,1.843861054420471,1.801730383872986,0.3395
24,1.8269682849884035,1.7847326428294181,0.3405
25,1.8132549606800084,1.7813823381662368,0.3515
26,1.805168290781975,1.7725870833992958,0.3523
27,1.7896377138614656,1.7582611706256865,0.3668
28,1.7794315523147586,1.750982611119747,0.3641
29,1.7690424631118773,1.7281553589105607,0.3658
30,1.757575175905228,1.7267520783543586,0.369
31,1.7475687296390536,1.7157922712564468,0.3753
32,1.7298975566148758,1.7082100386619568,0.3804
33,1.7294688316345215,1.6993987089395524,0.3855
34,1.7115539855241775,1.6834915834069253,0.389
35,1.7023341145277022,1.6931944608688354,0.3955
36,1.6923991436004642,1.6825261608362199,0.3871
37,1.6839460455656048,1.6702841809988023,0.395
38,1.6686792929649354,1.6699174182415009,0.3924
39,1.6650670967817305,1.6575188320875167,0.3992
40,1.6546788537263872,1.6427104721665382,0.4066
41,1.648823636460304,1.6496205465197564,0.399
42,1.6305412414312361,1.632538331925869,0.4064
43,1.6208564731359485,1.6327931014299393,0.4089
44,1.6054397459030152,1.6207858498692513,0.411
45,1.6011451284646987,1.6222403900623321,0.4124
46,1.5936377014875414,1.6009692458510398,0.4198
47,1.5868625090360644,1.5968908603787422,0.4258
48,1.5766745212316513,1.592995597243309,0.4271
49,1.5739969511270522,1.5768287344574927,0.4286
