,Communication_round,train_loss,train_accuracy
0,0,2.2645518025265465,36.641772151898735
1,1,3.0891641701324075,35.59367088607595
2,2,2.591134970097602,44.63797468354431
3,3,2.964314451247831,41.32025316455696
4,4,2.685171349440949,45.1620253164557
5,5,2.508459926707835,46.86582278481013
6,6,2.4055077628244326,47.71518987341772
7,7,2.3918062662776514,48.14556962025316
8,8,2.4014976548243174,48.51392405063291
9,9,2.378239385689361,48.80379746835443
10,10,2.3336239509944674,50.177215189873415
11,11,2.293273174008237,51.36455696202532
12,12,2.231578052647506,51.99873417721519
13,13,2.2306930232651627,52.392405063291136
14,14,2.2458888489988786,51.94303797468354
15,15,2.214698980729791,53.08227848101266
16,16,2.1856864941271046,53.44050632911392
17,17,2.149658500997326,53.529113924050634
18,18,2.1226221668569347,54.482278481012656
19,19,2.120350797870491,55.426582278481014
20,20,2.0817395056350323,55.61645569620253
21,21,2.050812911987305,56.52278481012658
22,22,2.03892749713946,56.80506329113924
23,23,2.0170214630380463,56.80126582278481
24,24,1.9810225616527508,57.59240506329114
25,25,1.957387126397483,57.92025316455696
26,26,1.9364939676055426,58.769620253164554
27,27,1.923713794841042,59.64683544303797
28,28,1.9379934724373153,59.551898734177215
29,29,1.9266529458987562,60.00379746835443
30,30,1.8725218592565271,61.04556962025316
31,31,1.8844771072834352,60.98101265822785
32,32,1.8612567568127114,61.651898734177216
33,33,1.8408238933056216,62.51898734177215
34,34,1.8359708772429937,62.22911392405063
35,35,1.8122450553918186,62.99620253164557
36,36,1.7738285734683652,63.23670886075949
37,37,1.7920247624192056,63.42151898734177
38,38,1.7642165177985083,64.12531645569621
39,39,1.7465234824373752,64.61645569620254
40,40,1.7108429686932625,65.45189873417722
41,41,1.7038941194739523,65.43164556962026
42,42,1.6937248561955704,66.25569620253165
43,43,1.6719996926150744,66.70253164556962
44,44,1.6659649495837054,66.98101265822785
45,45,1.6463605950150308,67.66708860759493
46,46,1.6418710487552837,67.7506329113924
47,47,1.6315528173989888,67.70632911392406
48,48,1.615089271415638,68.35316455696203
49,49,1.615970507000066,68.73544303797469
