,Communication_round,train_loss,train_accuracy
0,0,2.498002229762983,12.658227848101266
1,1,2.5398237376273434,12.658227848101266
2,2,2.5806494921068603,14.162025316455697
3,3,2.477001290683505,12.658227848101266
4,4,2.761636001248903,15.11012658227848
5,5,2.4704799519309515,16.341772151898734
6,6,2.41898025953317,18.353164556962025
7,7,2.576823458188697,23.245569620253164
8,8,2.293489241298241,20.251898734177214
9,9,2.276136015034929,19.08987341772152
10,10,2.344998475871509,20.91392405063291
11,11,2.412859846972212,23.20506329113924
12,12,2.3712682339209543,18.556962025316455
13,13,2.2444505302211906,17.90759493670886
14,14,2.382417207277274,22.03291139240506
15,15,2.2478514102440847,24.922784810126583
16,16,2.383764651455457,20.207594936708862
17,17,2.3236290122889267,21.389873417721518
18,18,2.264747388604321,28.09240506329114
19,19,2.2202889875520633,25.4
20,20,2.0768958695327178,23.662025316455697
21,21,2.169378021548066,22.78860759493671
22,22,2.179980895338179,28.181012658227846
23,23,2.020930841904652,30.01772151898734
24,24,2.80599577245833,22.20253164556962
25,25,2.301393831530704,23.98354430379747
26,26,2.452775733078582,24.130379746835445
27,27,2.2416475985623614,28.056962025316455
28,28,2.2307792986495585,25.427848101265823
29,29,2.319306272494642,24.474683544303797
30,30,2.052608805366709,26.449367088607595
31,31,2.217538571055931,24.4
32,32,2.2315897411937957,24.441772151898736
33,33,2.2940991637072985,26.424050632911392
34,34,2.42563930553726,23.620253164556964
35,35,2.0948998695687404,25.832911392405062
36,36,2.036297821244107,29.559493670886077
37,37,2.112287444404409,27.968354430379748
38,38,2.3336672730083707,29.327848101265822
39,39,2.195092444631118,28.869620253164555
40,40,2.280347214167631,28.040506329113924
41,41,2.3146286086191106,25.036708860759493
42,42,2.0915620041798944,30.01012658227848
43,43,2.126181962972955,30.145569620253166
44,44,2.235636756540854,29.563291139240505
45,45,2.221592686598814,27.21139240506329
46,46,2.0817065595071527,30.40379746835443
47,47,2.1266891545887234,29.643037974683544
48,48,2.0452700848820844,31.718987341772152
49,49,2.600906590872173,26.141772151898735
