,Communication_round,train_loss,train_accuracy
0,0,2.4954270673703545,12.658227848101266
1,1,2.5386872551109216,12.658227848101266
2,2,2.5871813544744175,16.01139240506329
3,3,2.5080010652542115,12.658227848101266
4,4,2.758751779870142,14.253164556962025
5,5,2.5028521042835865,12.658227848101266
6,6,2.4330749606784385,18.77848101265823
7,7,2.6141952671582187,23.020253164556962
8,8,2.2953251232074785,20.172151898734178
9,9,2.2840398657171033,19.543037974683543
10,10,2.3609535467775564,20.353164556962025
11,11,2.422675380223914,20.68227848101266
12,12,2.382164881199221,18.47848101265823
13,13,2.297932136209705,16.48481012658228
14,14,2.391914068898068,21.79873417721519
15,15,2.254779122298277,21.649367088607594
16,16,2.4336490084853355,17.965822784810126
17,17,2.325325604481033,21.00759493670886
18,18,2.281927128230469,26.359493670886074
19,19,2.276318984242934,24.943037974683545
20,20,2.1063528059404106,22.364556962025315
21,21,2.2273849188526973,21.58481012658228
22,22,2.216877351984193,26.29367088607595
23,23,2.0483539697490163,28.646835443037975
24,24,2.8905903022500534,21.7
25,25,2.330999957911576,24.848101265822784
26,26,2.5268999467922164,22.865822784810128
27,27,2.2752614876891992,27.163291139240506
28,28,2.310766436178473,23.50126582278481
29,29,2.2575764318055747,24.292405063291138
30,30,2.1023307614688633,26.131645569620254
31,31,2.2639947344985187,26.60126582278481
32,32,2.218574714358849,25.140506329113926
33,33,2.494442308099964,25.12405063291139
34,34,2.610432679140115,21.227848101265824
35,35,2.096341568910623,27.263291139240508
36,36,2.0586855773684345,30.917721518987342
37,37,2.1608423691761645,28.27341772151899
38,38,2.50400332287897,28.751898734177214
39,39,2.2089441064037856,28.58987341772152
40,40,2.316195031208328,28.08987341772152
41,41,2.312533299228813,25.529113924050634
42,42,2.1059888396082047,29.78987341772152
43,43,2.174487622780136,29.934177215189873
44,44,2.299847591225105,30.686075949367087
45,45,2.191777351687226,30.363291139240506
46,46,2.125376001189027,30.577215189873417
47,47,2.1469886487043355,30.758227848101267
48,48,2.0841164782077453,31.874683544303796
49,49,2.1871992029721223,29.681012658227846
